# PDB,Heme,ligand,saddling
2cym,HEM_A_110,HIS-HIS,0.058
2cym,HEM_A_111,HIS-HIS,0.316
2cyp,HEM_A_295,HIS-O,-0.614
2czs,HEM_A_500,HIS-HIS,0.326
2czs,HEM_A_501,HIS-HIS,-0.173
2czs,HEM_B_500,HIS-HIS,0.295
2czs,HEM_B_501,HIS-HIS,-0.158
2d09,HEM_A_430,CYS-OXY,-0.061
2d0e,HEM_A_408,CYS,-0.104
2d0s,HEC_A_80,HIS-MET,0.284
2d0t,HEM_A_404,HIS-PIM,0.459
2d0t,HEM_B_404,HIS-PIM,0.420
2d0w,HEM_A_200,HIS-MET,-0.154
2d0w,HEM_B_201,HIS-MET,-0.095
2d2m,HEM_A_200,HIS-OXY,0.164
2d2m,HEM_B_200,HIS-OXY,0.037
2d2m,HEM_C_200,HIS-OXY,-0.053
2d2m,HEM_D_200,HIS-OXY,-0.255
2d3q,HEM_A_446,HIS,0.454
2d3q,HEM_B_446,HIS,0.361
2d5x,HEM_A_142,HIS-CMO,0.154
2d5x,HEM_B_147,HIS-CMO,0.283
2d5z,HEM_A_142,HIS,0.090
2d5z,HEM_B_147,HIS-HOH,0.336
2d5z,HEM_C_142,HIS,0.121
2d5z,HEM_D_147,HIS,0.344
2d60,HEM_A_142,HIS,0.091
2d60,HEM_B_147,HIS,0.458
2d60,HEM_C_142,HIS,0.155
2d60,HEM_D_147,HIS,0.321
2dc3,HEM_A_191,HIS-HIS,-0.014
2dc3,HEM_B_191,HIS-HIS,-0.024
2dge,HEM_A_200,HIS-MET,0.385
2dge,HEM_B_200,HIS-MET,0.446
2dge,HEM_C_200,HIS-MET,0.296
2dge,HEM_D_200,HIS-MET,0.246
2dhb,HEM_A_142,HIS,0.438
2dhb,HEM_B_147,HIS,0.249
2dkk,HEM_A_430,CYS-IMD,0.023
2dn1,HEM_A_142,HIS-OXY,-0.017
2dn1,HEM_B_147,HIS-OXY,0.354
2dn2,HEM_A_142,HIS,0.026
2dn2,HEM_B_147,HIS,0.444
2dn2,HEM_C_142,HIS,0.170
2dn2,HEM_D_147,HIS,0.433
2dn3,HEM_A_142,HIS-CMO,0.172
2dn3,HEM_B_147,HIS-CMO,0.333
2dxm,HEM_A_142,HIS,0.182
2dxm,HEM_B_147,HIS,0.468
2dxm,HEM_C_142,HIS,0.080
2dxm,HEM_D_147,HIS,0.453
2dy5,HEM_A_300,HIS-224,-0.031
2dyr,HEA_A_515,HIS-HIS,-0.485
2dyr,HEA_A_516,HIS,-0.409
2dyr,HEA_N_515,HIS-HIS,-0.540
2dyr,HEA_N_516,HIS,-0.353
2dys,HEA_A_604,HIS-HIS,-0.477
2dys,HEA_A_605,HIS,-0.445
2dys,HEA_N_604,HIS-HIS,-0.516
2dys,HEA_N_605,HIS,-0.360
2e2y,HEM_A_154,HIS-HOH,0.118
2e39,HEM_A_401,HIS-CYN,-1.032
2e3a,HEM_A_401,HIS-NO,-1.003
2e3b,HEM_A_401,HIS-HOA,-0.964
2e74,HEM_A_301,HIS-HIS,0.014
2e74,HEM_A_302,HIS-HIS,-1.049
2e74,HEM_A_303,HOH,0.335
2e74,HEM_C_301,HIS-TYR,-0.552
2e7e,HEM_A_300,HIS-CYN,-0.284
2e80,HEM_A_1508,LYS-NO2,0.503
2e80,HEM_A_1509,HIS-HIS,0.653
2e80,HEM_A_1510,HIS-HIS,-0.418
2e80,HEM_A_1511,HIS-HIS,0.097
2e80,HEM_A_1512,HIS-HIS,0.165
2e81,HEM_A_1508,LYS-HOA,0.545
2e81,HEM_A_1509,HIS-HIS,0.773
2e81,HEM_A_1510,HIS-HIS,-0.370
2e81,HEM_A_1511,HIS-HIS,0.114
2e81,HEM_A_1512,HIS-HIS,0.242
2e84,HEM_A_1301,HIS-HIS,-0.004
2e84,HEM_A_1302,HIS-HIS,0.098
2e84,HEM_A_1303,HIS-HIS,0.021
2e84,HEM_A_1304,HIS-HIS,0.037
2e84,HEM_A_1305,HIS-HIS,-0.033
2e84,HEM_A_1306,HIS-HIS,0.060
2e84,HEM_A_1307,HIS-HIS,0.110
2e84,HEM_A_1308,HIS-HIS,0.010
2e84,HEM_A_1309,HIS-HIS,0.124
2e84,HEM_A_1310,HIS-HIS,0.110
2e84,HEM_A_1311,HIS-HIS,0.093
2e84,HEM_A_1312,HIS-HIS,-0.097
2e84,HEM_A_1313,HIS-HIS,-0.013
2e84,HEM_A_1314,HIS-HIS,-0.066
2e84,HEM_A_1315,HIS,0.068
2e84,HEM_A_1316,HIS-HIS,0.010
2efb,HEM_A_1001,HIS-CYN,-0.389
2efb,HEM_B_1021,HIS-OSM,-0.328
2eij,HEA_A_515,HIS-HIS,-0.571
2eij,HEA_A_516,HIS,-0.504
2eij,HEA_N_515,HIS-HIS,-0.612
2eij,HEA_N_516,HIS,-0.452
2eik,HEA_A_515,HIS-HIS,-0.587
2eik,HEA_A_516,HIS,-0.445
2eik,HEA_N_515,HIS-HIS,-0.619
2eik,HEA_N_516,HIS,-0.396
2eil,HEA_A_515,HIS-HIS,-0.519
2eil,HEA_A_516,HIS,-0.422
2eil,HEA_N_515,HIS-HIS,-0.578
2eil,HEA_N_516,HIS,-0.333
2eim,HEA_A_515,HIS-HIS,-0.440
2eim,HEA_A_516,HIS,-0.500
2eim,HEA_N_515,HIS-HIS,-0.382
2eim,HEA_N_516,HIS,-0.408
2ein,HEA_A_515,HIS-HIS,-0.649
2ein,HEA_A_516,HIS,-0.626
2ein,HEA_N_515,HIS-HIS,-0.673
2ein,HEA_N_516,HIS,-0.554
2eu7,HEM_X_201,HIS-NH3,0.317
2eun,HEM_A_295,HIS,-0.575
2euo,HEM_A_295,HIS-HOH,-0.621
2eup,HEM_A_295,HIS-HOH,-0.579
2euq,HEM_A_295,HIS,-0.569
2eur,HEM_A_295,HIS-HOH,-0.681
2eus,HEM_A_295,HIS-HOH,-0.536
2eut,HEM_A_295,HIS,-0.651
2euu,HEM_A_295,HIS-HOH,-0.652
2evk,HEM_A_154,ACY-HOH,0.052
2evp,HEM_A_154,BME,-0.027
2ewi,HEM_A_1004,HIS-HIS,1.105
2ewi,HEM_A_1002,HIS-HIS,-0.005
2ewi,HEM_A_1001,HIS-HIS,0.229
2ewi,HEM_A_1003,HIS-HIS,0.195
2ewk,HEM_A_1004,HIS-HIS,1.092
2ewk,HEM_A_1002,HIS-HIS,0.023
2ewk,HEM_A_1001,HIS-HIS,0.139
2ewk,HEM_A_1003,HIS-HIS,0.332
2ewu,HEM_A_1004,HIS-HIS,1.089
2ewu,HEM_A_1002,HIS-HIS,-0.010
2ewu,HEM_A_1001,HIS-HIS,0.104
2ewu,HEM_A_1003,HIS-HIS,0.157
2exv,HEC_A_83,HIS-MET,0.118
2exv,HEC_C_83,HIS-MET,0.025
2fal,HEM_A_148,HIS-CYN,-0.044
2fam,HEM_A_148,HIS-SCN,0.130
2fbw,HEM_C_201,HIS-HIS,-0.239
2fbw,HEM_P_201,HIS-HIS,-0.216
2fbz,HEM_X_901,CYS-NO,-0.446
2fc1,HEM_A_901,CYS-NO,-0.438
2fc2,HEM_A_901,CYS-NO,-0.486
2fc2,HEM_B_902,CYS-NO,-0.393
2fdu,HEM_A_500,CYS-D1G,-0.090
2fdu,HEM_B_500,CYS-D1G,-0.156
2fdu,HEM_C_500,CYS-D1G,-0.115
2fdu,HEM_D_500,CYS-D1G,-0.181
2fdv,HEM_A_500,CYS-D2G,-0.211
2fdv,HEM_B_500,CYS-D2G,-0.172
2fdv,HEM_C_500,CYS-D2G,-0.203
2fdv,HEM_D_500,CYS-D2G,-0.231
2fdw,HEM_A_500,CYS-D3G,-0.183
2fdw,HEM_B_500,CYS-D3G,-0.321
2fdw,HEM_C_500,CYS-D3G,-0.183
2fdw,HEM_D_500,CYS-D3G,-0.274
2fdy,HEM_A_500,CYS-D4G,-0.273
2fdy,HEM_B_500,CYS-D4G,-0.285
2fdy,HEM_C_500,CYS-D4G,-0.246
2fdy,HEM_D_500,CYS-D4G,-0.107
2ffn,HEM_A_1004,HIS-HIS,1.071
2ffn,HEM_A_1002,HIS-HIS,0.072
2ffn,HEM_A_1001,HIS-HIS,0.103
2ffn,HEM_A_1003,HIS-HIS,0.051
2fkz,HEM_B_3001,MET-MET,-0.158
2fkz,HEM_D_3002,MET-MET,-0.151
2fkz,HEM_E_3003,MET-MET,0.006
2fkz,HEM_H_3004,MET-MET,-0.189
2fl0,HEM_A_3001,MET-MET,-0.310
2fl0,HEM_C_3002,MET-MET,-0.232
2fl0,HEM_E_3003,MET-MET,-0.455
2fl0,HEM_G_3004,MET-MET,-0.311
2fmy,HEM_A_300,HIS-IMD,-0.516
2fmy,HEM_B_1300,HIS-IMD,-0.369
2fmy,HEM_C_2300,HIS-IMD,-0.526
2fmy,HEM_D_3300,HIS-IMD,-0.435
2fr7,HEM_A_501,CYS-HOH,0.165
2frf,HEM_A_154,HIS-NO2,0.121
2fri,HEM_X_154,HIS-NO2,0.113
2frj,HEM_X_154,HIS-NO,0.001
2frk,HEM_X_154,HIS-NO,-0.009
2frz,HEM_A_417,CYS-HOH,0.362
2frz,HEM_B_417,CYS-HOH,0.373
2fw5,HEC_A_803,HIS-HIS,-0.024
2fw5,HEC_A_805,HIS-HIS,0.283
2fwt,HEC_A_803,HIS-HIS,-0.220
2fwt,HEC_A_805,HIS-HIS,0.371
2fyu,HEM_C_381,HIS-HIS,-0.256
2fyu,HEM_C_382,HIS-HIS,-0.796
2fyu,HEM_D_242,HIS-MET,0.051
2g0r,HEM_A_154,HIS-CMO,0.213
2g0s,HEM_A_154,HIS-CMO,0.183
2g0v,HEM_A_154,HIS-CMO,0.213
2g0x,HEM_A_154,HIS-CMO,0.213
2g0z,HEM_A_154,HIS-CMO,0.213
2g10,HEM_A_154,HIS-CMO,0.183
2g11,HEM_A_154,HIS-CMO,0.183
2g12,HEM_A_154,HIS-CMO,0.183
2g14,HEM_A_154,HIS-CMO,0.183
2g3h,HEM_A_154,HIS-CYN,0.009
2g5g,HEM_X_605,TYR,-0.232
2g6h,HEM_A_750,CYS,-0.739
2g6h,HEM_B_750,CYS,-0.652
2g6i,HEM_A_750,CYS,-0.679
2g6i,HEM_B_750,CYS,-0.668
2g6j,HEM_A_750,CYS-NO,-0.533
2g6j,HEM_B_750,CYS-NO,-0.386
2g6k,HEM_A_750,CYS-NO,-0.581
2g6k,HEM_B_750,CYS-NO,-0.508
2g6l,HEM_A_750,CYS-NO,-0.647
2g6l,HEM_B_750,CYS-NO,-0.529
2g6m,HEM_A_750,CYS-CMO,-0.660
2g6m,HEM_B_750,CYS-CMO,-0.546
2g6n,HEM_A_750,CYS-CMO,-0.672
2g6n,HEM_B_750,CYS-CMO,-0.633
2g6o,HEM_A_500,CYS-CMO,-0.586
2g6o,HEM_B_500,CYS-CMO,-0.443
2gc4,HEC_D_200,HIS-MET,-0.121
2gc4,HEC_H_200,HIS-MET,-0.109
2gc4,HEC_L_200,HIS-MET,-0.183
2gc4,HEC_P_200,HIS-MET,-0.108
2gc7,HEC_D_200,HIS-MET,-0.125
2gc7,HEC_H_200,HIS-MET,-0.164
2gc7,HEC_L_200,HIS-MET,-0.204
2gc7,HEC_P_200,HIS-MET,-0.150
2gdm,HEM_A_154,HIS-OXY,0.040
2ggn,HEM_X_251,HIS-HIS,-0.785
2ghc,HEM_X_251,HIS-NO,-0.887
2ghd,HEM_X_251,HIS-CYN,-0.899
2ghe,HEM_X_251,HIS-HOH,-0.956
2ghh,HEM_X_251,HIS-NO,-0.756
2ghk,HEM_X_251,HIS-CYN,-0.518
2gjm,HEM_A_605,HIS-HOH,-0.435
2gkm,HEM_A_144,HIS-CYN,-0.069
2gkm,HEM_B_144,HIS-CYN,-0.002
2gkn,HEM_A_144,HIS-CYN,-0.187
2gkn,HEM_B_144,HIS-CYN,-0.089
2gl3,HEM_A_144,HIS-CYN,0.100
2gl3,HEM_B_144,HIS-CYN,0.031
2gln,HEM_A_144,HIS-CYN,-0.076
2gln,HEM_B_144,HIS-CYN,0.053
2gnv,HEM_A_166,HIS-HIS,0.167
2gnv,HEM_B_166,HIS-HIS,0.283
2gnw,HEM_A_166,HIS-HIS,-0.312
2gnw,HEM_B_166,HIS-HIS,0.050
2gqx,HEM_A_417,CYS,0.306
2gqx,HEM_B_417,CYS-HOH,0.408
2gr6,HEM_A_417,CYS-HOH,0.311
2gr6,HEM_B_417,CYS-HOH,0.387
2grf,HEM_A_147,HIS,-0.419
2grf,HEM_B_147,HIS,-0.483
2grh,HEM_A_147,HIS-CMO,0.030
2grh,HEM_B_147,HIS-CMO,0.113
2grz,HEM_A_147,HIS-CMO,0.030
2grz,HEM_B_147,HIS-CMO,0.113
2gsm,HEA_A_2001,HIS-HIS,-0.631
2gsm,HEA_A_2002,HIS-HOH,-0.259
2gsm,HEA_C_3001,HIS-HIS,-0.652
2gsm,HEA_C_3002,HIS-HOH,-0.277
2gtf,HEM_X_201,HIS-P1R,0.245
2h7q,HEM_A_415,CYS-IMD,0.090
2h7r,HEM_A_415,CYS-1MZ,0.059
2h7s,HEC_A_415,CYS-HOH,-0.017
2h7s,HEC_C_415,CYS-HOH,-0.164
2h88,HEM_C_142,HIS-HIS,-0.133
2h88,HEM_P_201,HIS-HIS,-0.124
2h89,HEM_C_142,HIS-HIS,-0.204
2h8d,HEM_A_200,HIS,0.210
2h8d,HEM_B_400,HIS,0.193
2h8d,HEM_C_600,HIS,0.114
2h8d,HEM_D_800,HIS,0.113
2h8f,HEM_A_200,HIS,0.057
2h8f,HEM_B_400,HIS,0.249
2h8f,HEM_C_600,HIS,0.055
2h8f,HEM_D_800,HIS,0.237
2hbc,HEM_A_142,HIS-ENC,0.601
2hbc,HEM_B_147,HIS-ENC,0.447
2hbd,HEM_A_142,HIS-MNC,0.337
2hbd,HEM_B_147,HIS-MNC,0.325
2hbe,HEM_A_142,HIS-NBN,0.604
2hbe,HEM_B_147,HIS-NBN,0.336
2hbf,HEM_A_142,HIS-NPN,0.490
2hbf,HEM_B_147,HIS-NPN,0.267
2hbg,HEM_A_148,HIS,-0.084
2hbs,HEM_A_153,HIS,0.496
2hbs,HEM_B_153,HIS,0.449
2hbs,HEM_C_153,HIS,0.133
2hbs,HEM_D_153,HIS,0.232
2hbs,HEM_E_153,HIS,0.101
2hbs,HEM_F_153,HIS,0.428
2hbs,HEM_G_153,HIS,0.212
2hbs,HEM_H_153,HIS,0.360
2hco,HEM_A_150,HIS-CMO,0.094
2hco,HEM_B_150,HIS-CMO,0.108
2hhb,HEM_A_142,HIS,0.053
2hhb,HEM_B_148,HIS,0.461
2hhb,HEM_C_142,HIS,0.099
2hhb,HEM_D_148,HIS,0.346
2hhd,HEM_A_142,HIS,0.025
2hhd,HEM_B_148,HIS,0.501
2hhd,HEM_C_142,HIS,0.177
2hhd,HEM_D_148,HIS,0.187
2hhe,HEM_A_142,HIS-HOH,0.068
2hhe,HEM_B_147,HIS,0.192
2hhe,HEM_C_142,HIS,0.249
2hhe,HEM_D_147,HIS,0.296
2hi4,HEM_A_900,CYS,-0.433
2hkx,HEM_A_300,HIS-CMO,0.091
2hpd,HEM_A_472,CYS-HOH,0.020
2hpd,HEM_B_472,CYS-HOH,-0.062
2htn,HEM_A_200,MET-MET,-0.331
2htn,HEM_C_200,MET-MET,-0.224
2htn,HEM_E_200,MET-MET,-0.245
2htn,HEM_G_200,MET-MET,-0.212
2hx2,HEM_A_700,CYS,-0.597
2hx2,HEM_B_700,CYS,-0.618
2hx3,HEM_A_750,CYS,-0.787
2hx3,HEM_B_750,CYS,-0.674
2hx4,HEM_A_750,CYS,-0.657
2hx4,HEM_B_750,CYS,-0.717
2hys,HEM_A_201,HIS-CYN,0.307
2hz1,HEM_A_125,HIS-HIS,-0.125
2hz2,HEM_A_125,HIS-HIS,-0.001
2hz3,HEM_A_129,HIS-HIS,-0.071
2i5n,HEC_C_401,HIS-MET,0.754
2i5n,HEC_C_402,HIS-MET,0.401
2i5n,HEC_C_403,HIS-MET,0.437
2i5n,HEC_C_404,HIS-HIS,0.310
2i89,HEM_A_201,HIS-HIS,0.192
2i89,HEM_B_701,HIS-HIS,0.324
2i89,HEM_C_801,HIS-HIS,0.062
2i89,HEM_D_901,HIS-HIS,0.145
2ia8,HEM_A_296,HIS,-0.177
2iag,HEM_A_600,CYS,-0.331
2iag,HEM_B_600,CYS,0.210
2ibj,HEM_A_201,HIS-HIS,0.607
2ibz,HEC_C_401,HIS-HIS,0.195
2ibz,HEC_C_402,HIS-HIS,-0.644
2ibz,HEC_D_3,HIS-MET,0.108
2icv,HEM_A_296,HIS,-0.146
2ig3,HEM_A_700,HIS-CYN,-0.329
2ig3,HEM_B_700,HIS-CYN,-0.395
2iiz,HEM_A_400,HIS,0.311
2ij2,HEM_A_999,CYS-HOH,-0.068
2ij2,HEM_B_999,CYS-HOH,-0.137
2ij3,HEM_A_999,CYS-HIS,0.004
2ij3,HEM_B_999,CYS-HIS,-0.014
2ij4,HEM_A_471,CYS-LYS,-0.249
2ij4,HEM_B_471,CYS-LYS,-0.297
2ij5,HEM_A_462,CYS-HOH,-0.547
2ij5,HEM_B_462,CYS-HOH,-0.592
2ij5,HEM_C_462,CYS-HOH,-0.592
2ij5,HEM_D_462,CYS-HOH,-0.643
2ij5,HEM_E_462,CYS-HOH,-0.550
2ij5,HEM_F_462,CYS-HOH,-0.555
2ij7,HEM_A_462,CYS-TPF,-0.435
2ij7,HEM_B_462,CYS-HOH,-0.573
2ij7,HEM_C_462,CYS-HOH,-0.450
2ij7,HEM_D_462,HOH-TPF,-0.369
2ij7,HEM_E_462,CYS-HOH,-0.428
2ij7,HEM_F_462,CYS-TPF,-0.472
2imq,HEM_X_300,CYS,-0.220
2iqf,HEM_A_550,TYR-O,0.013
2iqf,HEM_B_550,TYR-O,-0.070
2isa,HEM_A_486,TYR,0.098
2isa,HEM_B_486,TYR,0.092
2isa,HEM_C_485,TYR,0.121
2isa,HEM_D_485,TYR,0.071
2isa,HEM_E_486,TYR,0.081
2isa,HEM_F_486,TYR,0.076
2isa,HEM_G_485,TYR,0.039
2isa,HEM_H_485,TYR,0.113
2itf,HEM_A_200,TYR,-0.173
2itf,HEM_B_200,TYR,-0.057
2itf,HEM_C_200,TYR,0.650
2itf,HEM_D_200,TYR,0.968
2ivf,HEM_C_1217,LYS-MET,0.111
2j0d,HEM_A_1497,CYS,-0.253
2j0d,HEM_B_1497,CYS,-0.244
2j0p,HEM_A_1342,HIS,-0.161
2j18,HEM_A_1300,CYS-HOH,-0.070
2j19,HEM_A_1300,CYS,-0.051
2j1m,HEM_A_1456,CYS-DMS,-0.036
2j1m,HEM_B_1456,CYS-DMS,-0.086
2j2m,HEM_A_501,TYR,0.034
2j2m,HEM_B_501,TYR,0.029
2j2m,HEM_C_501,TYR,0.083
2j2m,HEM_D_501,TYR,0.113
2j4s,HEM_A_1456,CYS,-0.051
2j4s,HEM_B_1456,CYS,0.021
2j5m,HEM_A_1300,CYS-PEO,-0.046
2j7a,HEC_A_1001,LYS-HOH,0.622
2j7a,HEC_A_1002,HIS-HIS,0.643
2j7a,HEC_A_1003,HIS-HIS,-0.210
2j7a,HEC_A_1004,HIS-HIS,0.514
2j7a,HEC_A_1005,HIS-HIS,0.617
2j7a,HEC_B_1001,LYS-HOH,0.711
2j7a,HEC_B_1002,HIS-HIS,0.677
2j7a,HEC_B_1003,HIS-HIS,-0.186
2j7a,HEC_B_1004,HIS-HIS,0.470
2j7a,HEC_B_1005,HIS-HIS,0.619
2j7a,HEC_C_1001,ASP-MET,-0.306
2j7a,HEC_C_1002,HIS-HIS,0.174
2j7a,HEC_C_1003,HIS-HIS,0.120
2j7a,HEC_C_1004,HIS-LYS,0.448
2j7a,HEC_D_1001,LYS,0.506
2j7a,HEC_D_1002,HIS-HIS,0.579
2j7a,HEC_D_1003,HIS-HIS,-0.144
2j7a,HEC_D_1004,HIS-HIS,0.412
2j7a,HEC_D_1005,HIS-HIS,0.525
2j7a,HEC_E_1001,LYS-HOH,0.591
2j7a,HEC_E_1002,HIS-HIS,0.618
2j7a,HEC_E_1003,HIS-HIS,-0.195
2j7a,HEC_E_1004,HIS-HIS,0.521
2j7a,HEC_E_1005,HIS-HIS,0.555
2j7a,HEC_F_1001,MET,-0.166
2j7a,HEC_F_1002,HIS-HIS,0.134
2j7a,HEC_F_1003,HIS-HIS,0.210
2j7a,HEC_F_1004,HIS-LYS,0.416
2j7a,HEC_G_1001,LYS-HOH,0.559
2j7a,HEC_G_1002,HIS-HIS,0.526
2j7a,HEC_G_1003,HIS-HIS,-0.206
2j7a,HEC_G_1004,HIS-HIS,0.491
2j7a,HEC_G_1005,HIS-HIS,0.544
2j7a,HEC_H_1001,LYS-HOH,0.655
2j7a,HEC_H_1002,HIS-HIS,0.613
2j7a,HEC_H_1003,HIS-HIS,-0.140
2j7a,HEC_H_1004,HIS-HIS,0.500
2j7a,HEC_H_1005,HIS-HIS,0.522
2j7a,HEC_I_1001,ASP-MET,-0.282
2j7a,HEC_I_1002,HIS-HIS,0.183
2j7a,HEC_I_1003,HIS-HIS,0.084
2j7a,HEC_I_1004,HIS-LYS,0.519
2j7a,HEC_J_1001,LYS-HOH,0.551
2j7a,HEC_J_1002,HIS-HIS,0.547
2j7a,HEC_J_1003,HIS-HIS,-0.207
2j7a,HEC_J_1004,HIS-HIS,0.533
2j7a,HEC_J_1005,HIS-HIS,0.646
2j7a,HEC_K_1001,LYS,0.660
2j7a,HEC_K_1002,HIS-HIS,0.763
2j7a,HEC_K_1003,HIS-HIS,-0.155
2j7a,HEC_K_1004,HIS-HIS,0.517
2j7a,HEC_K_1005,HIS-HIS,0.451
2j7a,HEC_L_1002,HIS-HIS,0.193
2j7a,HEC_L_1003,HIS-HIS,0.031
2j7a,HEC_L_1004,HIS-LYS,0.404
2j7a,HEC_L_1101,ASP-MET,-0.209
2j7a,HEC_M_1001,LYS,0.575
2j7a,HEC_M_1002,HIS-HIS,0.495
2j7a,HEC_M_1003,HIS-HIS,-0.124
2j7a,HEC_M_1004,HIS-HIS,0.431
2j7a,HEC_M_1005,HIS-HIS,0.527
2j7a,HEC_N_1001,LYS-HOH,0.661
2j7a,HEC_N_1002,HIS-HIS,0.598
2j7a,HEC_N_1003,HIS-HIS,-0.168
2j7a,HEC_N_1004,HIS-HIS,0.479
2j7a,HEC_N_1005,HIS-HIS,0.654
2j7a,HEC_O_1001,ASP-MET,-0.296
2j7a,HEC_O_1002,HIS-HIS,0.156
2j7a,HEC_O_1003,HIS-HIS,0.111
2j7a,HEC_O_1004,HIS-LYS,0.447
2j7a,HEC_P_1001,LYS-HOH,0.653
2j7a,HEC_P_1002,HIS-HIS,0.479
2j7a,HEC_P_1003,HIS-HIS,-0.124
2j7a,HEC_P_1004,HIS-HIS,0.506
2j7a,HEC_P_1005,HIS-HIS,0.606
2j7a,HEC_Q_1001,LYS-HOH,0.494
2j7a,HEC_Q_1002,HIS-HIS,0.683
2j7a,HEC_Q_1003,HIS-HIS,-0.275
2j7a,HEC_Q_1004,HIS-HIS,0.512
2j7a,HEC_Q_1005,HIS-HIS,0.610
2j7a,HEC_R_1001,MET,-0.237
2j7a,HEC_R_1002,HIS-HIS,0.059
2j7a,HEC_R_1003,HIS-HIS,0.156
2j7a,HEC_R_1004,HIS-LYS,0.383
2j8w,HEC_A_1129,HIS,-0.158
2j8w,HEC_B_1129,HIS,-0.206
2j9b,HEC_A_1128,HIS,-0.145
2j9b,HEC_B_1129,HIS,-0.166
2jbl,HEC_C_1333,HIS-MET,0.474
2jbl,HEC_C_1334,HIS-MET,0.422
2jbl,HEC_C_1335,HIS-MET,0.399
2jbl,HEC_C_1336,HIS-HIS,0.325
2je2,HEC_A_1171,HIS-PO4,0.668
2je3,HEC_A_1171,HIS-PO4,0.751
2jho,HEM_A_1154,HIS-CYN,0.064
2jjn,HEM_A_412,CYS-HOH,-0.247
2jjo,HEM_A_412,CYS-HOH,-0.182
2jjp,HEM_A_412,CYS-KLN,0.054
2lh1,HEM_A_155,HIS-ACT,-0.068
2lh2,HEM_A_154,HIS-O,-0.033
2lh3,HEM_A_155,HIS-CYN,0.027
2lh5,HEM_A_155,HIS-F,-0.051
2lh6,HEM_A_154,HIS-NIO,0.018
2lh7,HEM_A_154,HIS-NBE,-0.080
2lhb,HEM_A_151,HIS-CYN,0.172
2mb5,HEM_A_154,HIS-CMO,-0.008
2mbw,HEM_A_154,HIS-HOH,0.049
2mga,HEM_A_154,HIS-CMO,0.168
2mgb,HEM_A_154,HIS-HOH,0.099
2mgc,HEM_A_154,HIS-CMO,0.160
2mgd,HEM_A_154,HIS,0.070
2mge,HEM_A_154,HIS,0.080
2mgf,HEM_A_154,HIS-CMO,0.200
2mgg,HEM_A_154,HIS,0.133
2mgh,HEM_A_154,HIS-HOH,0.196
2mgi,HEM_A_154,HIS-HOH,0.070
2mgj,HEM_A_154,HIS,-0.029
2mgk,HEM_A_154,HIS-CMO,0.183
2mgl,HEM_A_154,HIS,0.118
2mgm,HEM_A_154,HIS-OXY,0.083
2mhb,HEM_A_142,HIS-HOH,-0.000
2mhb,HEM_B_147,HIS-HOH,-0.000
2mta,HEC_C_200,HIS-MET,-0.338
2mya,HEM_A_154,HIS-ENC,0.111
2myb,HEM_A_154,HIS-MNC,0.039
2myc,HEM_A_154,HIS-NBN,0.191
2myd,HEM_A_154,HIS-NPN,0.301
2mye,HEM_A_154,HIS-ENC,0.141
2nnb,HEM_A_472,CYS-HOH,0.008
2nnb,HEM_B_472,CYS-HOH,-0.126
2nnh,HEM_A_500,CYS,-0.345
2nnh,HEM_B_500,CYS,-0.180
2nni,HEM_A_500,CYS,-0.340
2nnj,HEM_A_500,CYS,-0.362
2nod,HEM_A_901,CYS,-0.580
2nod,HEM_B_901,CYS,-0.640
2nos,HEM_A_901,CYS-IMD,-0.131
2nox,HEM_A_500,HIS-HOH,-0.053
2nox,HEM_B_500,HIS,-0.268
2nox,HEM_C_500,HIS,-0.334
2nox,HEM_D_500,HIS-HOH,-0.172
2nox,HEM_E_500,HIS-HOH,-0.078
2nox,HEM_F_500,HIS,-0.165
2nox,HEM_G_500,HIS,-0.274
2nox,HEM_H_500,HIS,-0.099
2nox,HEM_I_500,HIS,0.044
2nox,HEM_J_500,HIS,-0.165
2nox,HEM_K_500,HIS,-0.138
2nox,HEM_L_500,HIS,-0.218
2nox,HEM_M_500,HIS,-0.106
2nox,HEM_N_500,HIS,-0.052
2nox,HEM_O_500,HIS,-0.375
2nox,HEM_P_500,HIS-HOH,-0.044
2np1,HEM_A_350,HIS-NH4,0.251
2np1,HEM_B_437,HIS-NH4,0.019
2nqx,HEM_A_709,HIS,-0.345
2nrl,HEM_A_148,HIS-HOH,-0.002
2nrm,HEM_A_148,HIS-HOH,-0.008
2nse,HEM_A_500,CYS,-0.696
2nse,HEM_B_500,CYS,-0.654
2nsi,HEM_A_550,CYS,-0.678
2nsi,HEM_B_550,CYS,-0.636
2nsi,HEM_C_550,CYS,-0.608
2nsi,HEM_D_550,CYS,-0.705
2nsr,HEM_A_154,HIS-NSM,-0.084
2nss,HEM_A_154,HIS-NBE,0.287
2nw7,HEM_A_401,HIS,0.459
2nw7,HEM_B_401,HIS,0.459
2nw7,HEM_C_401,HIS,0.459
2nw7,HEM_D_401,HIS,0.460
2nw8,HEM_A_401,HIS,0.001
2nw8,HEM_B_401,HIS,-0.119
2nw9,HEM_A_401,HIS,-0.024
2nw9,HEM_B_401,HIS,-0.101
2nwb,HEM_A_401,HIS,0.450
2nx0,HEM_A_148,HIS-NO,0.014
2nz5,HEM_A_430,CYS-226,-0.108
2nz5,HEM_B_430,CYS-226,-0.089
2nza,HEM_A_430,CYS,0.009
2nza,HEM_B_430,CYS-HOH,0.049
